channel,city,region,customer_name,order_date,order_id,department,product_category_gender,product_sub_category,product_sku,product_name,distance_from_warehouse,price,cost_of_sale,discount,order_quantity,sales,gross_profit,gross_profit_margin
Supermarket,Abbey Ward,Buckinghamshire,Milton Terry Associates,09.10.18,26146,Clothing,Men,Pants,MP04-33-Black,Supernova Sport Pant-33-Black,160,31,262.00 ,0.00 ,13,403,141,35.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Tool Service Company Inc,10.10.18,50786,Clothing,Men,Shorts,MSH06-34-Gray,Lono Yoga Short-34-Gray,155,40,92.80 ,0.10 ,4,160,67,42.0%
Supermarket,East Putney Ward,Greater London,"Sotorrio, Rene A Esq",10.10.18,40708,Clothing,Men,Jackets,MJ12-XS-Blue,Proteus Fitness Jackshirt-XS-Blue,70,47,267.90 ,0.00 ,15,705,437,62.0%
Franchise,Abbey Ward,Buckinghamshire,Avante Limited,11.10.18,22208,Clothing,Men,Tees,MS07-XS-Green,Deion Long-Sleeve EverCool&trade; Tee-XS-Green,160,15,480.00 ,0.10 ,50,750,270,36.0%
Franchise,Hawerby cum Beesby,Lincolnshire,Council Of Cmnty Blood Ctrs,11.10.18,17024,Clothing,Men,Hoodies & Sweatshirts,MH07-XL-Gray,Hero Hoodie-XL-Gray,40,26,507.80 ,0.00 ,31,806,298,37.0%
Supermarket,Laindon Park Ward,Essex,In Communications Inc,11.10.18,43360,Clothing,Men,Hoodies & Sweatshirts,MH10-XS-Black,Mach Street Sweatshirt -XS-Black,90,25,456.00 ,0.00 ,48,1200,744,62.0%
Supermarket,Abbey Ward,Buckinghamshire,Mnpls Arprt Marriott,11.10.18,22208,Clothing,Men,Tees,MS03-M-Gray,Balboa Persistence Tee-M-Gray,160,19,239.00 ,0.00 ,37,703,464,66.0%
Supermarket,Abbey Ward,Buckinghamshire,Rug Gallery,11.10.18,8835,Clothing,Men,Hoodies & Sweatshirts,MH04-L-Yellow,Frankie  Sweatshirt-L-Yellow,160,32,107.50 ,0.10 ,12,384,277,72.0%
Supermarket,Abbey Ward,Buckinghamshire,Visiting Nur Assn Ctrl Jersey,11.10.18,53766,Clothing,Men,Shorts,MSH12-33-Black,Pierce Gym Short-33-Black,160,25,253.00 ,0.10 ,22,550,297,54.0%
Local store,Carbrooke,Norfolk,Ringo International Inc,13.10.18,56995,Clothing,Men,Hoodies & Sweatshirts,MH11,Grayson Crewneck Sweatshirt ,205,44,653.40 ,0.10 ,27,1188,535,45.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Harmons,13.10.18,47108,Clothing,Men,Hoodies & Sweatshirts,MH08-L-Brown,Oslo Trek Hoodie-L-Brown,155,39,177.50 ,0.10 ,7,273,96,35.0%
Local store,Staple Hill Ward,South Gloucestershire,Bizerba Usa Inc,13.10.18,40160,Clothing,Men,Shorts,MSH01-36-Red,Cobalt CoolTech&trade; Fitness Short-36-Red,60,25,356.50 ,0.10 ,23,575,219,38.0%
Franchise,East Putney Ward,Greater London,Bohs Well Drilling Inc,13.10.18,57248,Clothing,Men,Tees,MS04-S-Orange,Gobi HeatTec&reg; Tee-S-Orange,70,14,242.80 ,0.00 ,34,476,233,49.0%
Franchise,Marldon,Devon,"Mcdonald, Michael J Esq",13.10.18,47108,Clothing,Men,Hoodies & Sweatshirts,MH08-M-Purple,Oslo Trek Hoodie-M-Purple,45,43,123.80 ,0.10 ,9,387,263,68.0%
Franchise,Shard End Ward,West Midlands,Upper Deck Co,13.10.18,17028,Clothing,Men,Tanks,MT02-XL-White,Tristan Endurance Tank-XL-White,120,21,115.70 ,0.00 ,19,399,283,71.0%
Supermarket,Carbrooke,Norfolk,Dilling Harris Inc,13.10.18,47108,Clothing,Men,Tanks,MT02-XS-Gray,Tristan Endurance Tank-XS-Gray,205,16,178.90 ,0.10 ,26,416,237,57.0%
Supermarket,Abbey Ward,Buckinghamshire,Schwend Signs,13.10.18,8165,Clothing,Men,Shorts,MSH07,Rapha  Sports Short,160,37,595.70 ,0.00 ,35,1295,699,54.0%
Supermarket,Crompton Ward,Greater Manchester,Kyes Tv Channel 5,13.10.18,47108,Clothing,Men,Shorts,MSH11-34-Blue,Arcadio Gym Short-34-Blue,90,25,161.50 ,0.10 ,19,475,314,66.0%
Franchise,Abbey Ward,Buckinghamshire,Packaging Corp Of America,15.10.18,13761,Clothing,Men,Pants,MP08,Zeppelin Yoga Pant,160,36,449.30 ,0.10 ,32,1152,703,61.0%
Franchise,Abbey Ward,Buckinghamshire,"Blanton, Mary R Attorney",15.10.18,7906,Clothing,Men,Shorts,MSH09-34-Black,Troy Yoga Short-34-Black,160,31,688.20 ,0.00 ,37,1147,459,40.0%
Small chain store,Abbey Ward,Buckinghamshire,Sigmacom Corporation,15.10.18,43044,Clothing,Men,Tanks,MT02-XS-Red,Tristan Endurance Tank-XS-Red,160,19,126.70 ,0.10 ,23,437,310,71.0%
Supermarket,Abbey Ward,Buckinghamshire,General Appraisal Co,15.10.18,31493,Clothing,Men,Hoodies & Sweatshirts,MH04-XL-Yellow,Frankie  Sweatshirt-XL-Yellow,160,20,102.40 ,0.00 ,8,160,58,36.0%
Supermarket,Abbey Ward,Buckinghamshire,Nelsons Trmt & Pest Cntrl Co,15.10.18,43044,Clothing,Men,Hoodies & Sweatshirts,MH05-L-Red,Hollister Backyard Sweatshirt-L-Red,160,28,21.00 ,0.00 ,3,84,63,75.0%
Local store,Parwich,Derbyshire,Pathe Cmptr Cntrl Systems Corp,16.10.18,2086,Clothing,Men,Pants,MP12-36-Red,Cronus Yoga Pant -36-Red,175,40,537.60 ,0.00 ,24,960,422,44.0%
Local store,Llangeler Community,Ceredigion,U S Sapporo A Inc,16.10.18,41255,Clothing,Men,Hoodies & Sweatshirts,MH10-XL-Blue,Mach Street Sweatshirt -XL-Blue,50,23,156.90 ,0.00 ,22,506,349,69.0%
Franchise,Abbey Ward,Buckinghamshire,L Winik & Associates Inc,16.10.18,2086,Clothing,Men,Tees,MS12-L-Red,Atomic Endurance Running Tee (Crew-Neck)-L-Red,160,6,16.70 ,0.00 ,9,54,37,69.1%
Franchise,Abbey Road Ward,Greater London,Bedford Books St Martins Prs,16.10.18,26342,Clothing,Men,Tanks,MT02-XS-White,Tristan Endurance Tank-XS-White,35,18,20.50 ,0.00 ,3,54,34,62.0%
Franchise,Parwich,Derbyshire,Mcallister & Murphy Pc,16.10.18,2086,Clothing,Men,Jackets,MJ02-M-Green,Hyperion Elements Jacket-M-Green,175,56,1340.60 ,0.00 ,38,2128,787,37.0%
Franchise,Woodstock Ward,South Gloucestershire,Wrangle Hill Auto Auct & Slvg,16.10.18,26342,Clothing,Men,Hoodies & Sweatshirts,MH09-XL-Red,Abominable Hoodie-XL-Red,35,30,194.40 ,0.00 ,24,720,526,73.0%
Small chain store,Abbey Ward,Buckinghamshire,Tiny Tots Originals Div,16.10.18,26342,Clothing,Men,Tanks,MT03,Primo Endurance Tank,160,25,594.50 ,0.00 ,41,1025,431,42.0%
Local store,Carbrooke,Norfolk,K C Products Co,17.10.18,52615,Clothing,Men,Tees,MS01,Aero Daily Fitness Tee,205,8,16.60 ,0.10 ,4,32,15,48.1%
Franchise,Weston-Super-Mare,North Somerset,Engelbrecht Ackerman & Hassman,17.10.18,28614,Clothing,Men,Pants,MP06-33-Green,Mithra Warmup Pant-33-Green,45,47,869.50 ,0.10 ,50,2350,1481,63.0%
Franchise,Dee Ward,Dumfries and Galloway,J A Associates,17.10.18,52615,Clothing,Men,Pants,MP09-34-Black,Livingston All-Purpose Tight-34-Black,35,51,495.70 ,0.10 ,18,918,422,46.0%
Franchise,Brimpton,Berkshire,Marketing Horizons Inc,17.10.18,53222,Clothing,Men,Tanks,MT03-L-Blue,Primo Endurance Tank-L-Blue,35,25,24.00 ,0.10 ,2,50,26,52.0%
Small chain store,Abbey Ward,Buckinghamshire,Marine Safety International,17.10.18,39649,Clothing,Men,Tees,MS11-XL-Green,Atomic Endurance Running Tee (V-neck)-XL-Green,160,5,19.40 ,0.00 ,9,45,26,56.9%
Supermarket,East Putney Ward,Greater London,Clifford Standifer & Mcdowell,17.10.18,39649,Clothing,Men,Tanks,MT03-L-Red,Primo Endurance Tank-L-Red,70,25,122.50 ,0.00 ,10,250,128,51.0%
Local store,Carbrooke,Norfolk,"Cain, John M Esq",18.10.18,19522,Clothing,Men,Jackets,MJ03-XL-Green,Montana Wind Jacket-XL-Green,205,49,707.10 ,0.10 ,37,1813,1106,61.0%
Local store,Carbrooke,Norfolk,Transbay Steel Corp,18.10.18,50626,Clothing,Men,Tees,MS11-S-Yellow,Atomic Endurance Running Tee (V-neck)-S-Yellow,205,11,115.50 ,0.00 ,42,462,347,75.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Association Of Art Museum Dir,18.10.18,50626,Clothing,Men,Hoodies & Sweatshirts,MH04-XL-White,Frankie  Sweatshirt-XL-White,155,20,219.60 ,0.00 ,18,360,140,39.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,"Carlin, Angela G Esq",18.10.18,36835,Clothing,Men,Shorts,MSH08-33-Blue,Orestes Fitness Short-33-Blue,155,38,273.60 ,0.00 ,18,684,410,60.0%
Franchise,Abbey Ward,Buckinghamshire,Poag Grain Inc,18.10.18,16196,Clothing,Men,Tees,MS01-M-Yellow,Aero Daily Fitness Tee-M-Yellow,160,25,526.50 ,0.10 ,39,975,449,46.0%
Franchise,Parwich,Derbyshire,Bauer Coatings,18.10.18,36835,Clothing,Men,Tees,MS07-S-White,Deion Long-Sleeve EverCool&trade; Tee-S-White,175,17,204.00 ,0.10 ,25,425,221,52.0%
Small chain store,Loundsley Green Ward,Derbyshire,"Lynema, Cliff Cpa",18.10.18,19522,Clothing,Men,Shorts,MSH07-36-Purple,Rapha  Sports Short-36-Purple,55,42,1164.20 ,0.10 ,44,1848,684,37.0%
Small chain store,Loundsley Green Ward,Derbyshire,Valley Prodn Ctr For Vid & Aud,18.10.18,16196,Clothing,Men,Tanks,MT03-L-Yellow,Primo Endurance Tank-L-Yellow,55,24,528.00 ,0.00 ,44,1056,528,50.0%
Small chain store,St. Enoder,Cornwall,Fleetwood Area School District,18.10.18,36835,Clothing,Men,Pants,MP11-34-Blue,Aether Gym Pant -34-Blue,30,44,978.10 ,0.00 ,39,1716,738,43.0%
Small chain store,Lymington and Pennington,Hampshire,Tiburon Pen Chmbr Commrce Inc,18.10.18,12581,Clothing,Men,Tanks,MT03-M-Blue,Primo Endurance Tank-M-Blue,45,24,238.10 ,0.00 ,31,744,506,68.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Viking Lodge,19.10.18,26565,Clothing,Men,Tanks,MT03-L-Yellow,Primo Endurance Tank-L-Yellow,155,15,345.50 ,0.00 ,49,735,390,53.0%
Franchise,Carbrooke,Norfolk,Coastal Technologies,19.10.18,58693,Clothing,Men,Jackets,MJ08-S-Gray,Lando Gym Jacket-S-Gray,205,46,1403.00 ,0.00 ,50,2300,897,39.0%
Franchise,Longhill Ward,"Yorkshire, East (North Humbers",Dale Yoder Clu Life Hlth & Bus,19.10.18,11335,Clothing,Men,Pants,MP07-36-Blue,Thorpe Track Pant-36-Blue,25,50,148.00 ,0.10 ,8,400,252,63.0%
Small chain store,North Tawton,Devon,"Jurdem, Scott Esq",19.10.18,6246,Clothing,Men,Pants,MP05-33-Blue,Kratos Gym Pant-33-Blue,15,39,248.40 ,0.10 ,13,507,259,51.0%
Supermarket,Abbey Ward,Buckinghamshire,A O J Mfg Corp,19.10.18,11335,Clothing,Men,Jackets,MJ01-XS-Red,Beaumont Summit Kit-XS-Red,160,46,55.20 ,0.10 ,3,138,83,60.0%
Local store,Carbrooke,Norfolk,Philosophical Rsrch Scty Bkstr,20.10.18,48929,Clothing,Men,Pants,MP03-32-Green,Geo Insulated Jogging Pant-32-Green,205,51,31.10 ,0.00 ,1,51,20,39.0%
Franchise,Dunblane and Bridge of Allan W,Stirling,Portal Metal Products,20.10.18,48929,Clothing,Men,Jackets,MJ12-S-Black,Proteus Fitness Jackshirt-S-Black,25,48,1447.20 ,0.00 ,45,2160,713,33.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Mcallister & Murphy Pc,21.10.18,34918,Clothing,Men,Tees,MS03-XS-Gray,Balboa Persistence Tee-XS-Gray,155,16,104.00 ,0.00 ,25,400,296,74.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Association Of Art Museum Dir,21.10.18,34918,Clothing,Men,Pants,MP01-34-Gray,Caesar Warm-Up Pant-34-Gray,155,53,241.70 ,0.10 ,12,636,394,62.0%
Franchise,Abbey Ward,Buckinghamshire,Engelbrecht Ackerman & Hassman,21.10.18,34631,Clothing,Men,Hoodies & Sweatshirts,MH12-S-Green,Ajax Full-Zip Sweatshirt -S-Green,160,38,72.20 ,0.10 ,5,190,118,62.0%
Supermarket,Abbey Ward,Buckinghamshire,E Zaks & Co,21.10.18,34631,Clothing,Men,Tees,MS07-L-Black,Deion Long-Sleeve EverCool&trade; Tee-L-Black,160,15,165.30 ,0.10 ,19,285,120,42.0%
Franchise,Carbrooke,Norfolk,Karl May General Contractor,22.10.18,38887,Clothing,Men,Tanks,MT01-M-Gray,Erikssen CoolTech&trade; Fitness Tank-M-Gray,205,23,143.80 ,0.00 ,25,575,431,75.0%
Franchise,Westgate Ward,Gloucestershire,Lykes Bros Inc,22.10.18,4835,Clothing,Men,Jackets,MJ02-XS-Red,Hyperion Elements Jacket-XS-Red,50,55,61.10 ,0.00 ,3,165,104,63.0%
Supermarket,Abbey Ward,Buckinghamshire,"Levering, Charles B Esq",22.10.18,38887,Clothing,Men,Shorts,MSH01-32-Red,Cobalt CoolTech&trade; Fitness Short-32-Red,160,27,621.00 ,0.10 ,50,1350,729,54.0%
Franchise,Abbey Ward,Buckinghamshire,Wa Inst For Plcy Studies,23.10.18,50656,Clothing,Men,Tees,MS02-L-Gray,Ryker LumaTech&trade; Tee (V-neck)-L-Gray,160,11,44.60 ,0.10 ,15,165,120,73.0%
Supermarket,Abbey Ward,Buckinghamshire,A O J Mfg Corp,23.10.18,50656,Clothing,Men,Tanks,MT03-M-Red,Primo Endurance Tank-M-Red,160,17,263.50 ,0.00 ,31,527,264,50.0%
Supermarket,Whittington,Shropshire,Computer Security Cnslnts Inc,23.10.18,17124,Clothing,Men,Tanks,MT03-M-Yellow,Primo Endurance Tank-M-Yellow,25,18,372.10 ,0.10 ,39,702,330,47.0%
Supermarket,St. Ive,Cornwall,Village Business Center,23.10.18,50656,Clothing,Men,Shorts,MSH01-34-Blue,Cobalt CoolTech&trade; Fitness Short-34-Blue,40,36,831.60 ,0.00 ,42,1512,680,45.0%
Supermarket,Chichester,West Sussex,Proto Tek Manufacturing,23.10.18,50656,Clothing,Men,Tanks,MT02-M-White,Tristan Endurance Tank-M-White,20,18,315.90 ,0.00 ,39,702,386,55.0%
Franchise,Carbrooke,Norfolk,Goodfellow Agency,24.10.18,38599,Clothing,Men,Pants,MP01-34-Purple,Caesar Warm-Up Pant-34-Purple,205,32,483.80 ,0.10 ,27,864,380,44.0%
Local store,Marldon,Devon,Bfg Federal Credit Union,25.10.18,15904,Clothing,Men,Pants,MP01-36-Black,Caesar Warm-Up Pant-36-Black,45,30,549.90 ,0.10 ,39,1170,620,53.0%
Franchise,Wakefield North Ward,West Yorkshire,Agopgee Enterprises Inc,25.10.18,17251,Clothing,Men,Tanks,MT03-L-Yellow,Primo Endurance Tank-L-Yellow,10,21,300.30 ,0.00 ,26,546,246,45.0%
Franchise,Abbey Ward,Buckinghamshire,Omni Mandalay,25.10.18,15904,Clothing,Men,Tanks,MT03-S-Blue,Primo Endurance Tank-S-Blue,160,21,452.80 ,0.10 ,49,1029,576,56.0%
Franchise,Carbrooke,Norfolk,B & S Tool And Cutter Svc Inc,26.10.18,19105,Clothing,Men,Hoodies & Sweatshirts,MH06-XL-Black,Stark Fundamental Hoodie-XL-Black,205,28,397.90 ,0.10 ,29,812,414,51.0%
Franchise,Abbey Ward,Buckinghamshire,"Rosenkrance, Brent",26.10.18,19105,Clothing,Men,Pants,MP01-36-Gray,Caesar Warm-Up Pant-36-Gray,160,54,954.20 ,0.10 ,31,1674,720,43.0%
Franchise,Abbey Ward,Buckinghamshire,"Mata, Mario A Esq",26.10.18,7623,Clothing,Men,Hoodies & Sweatshirts,MH10-XL-Blue,Mach Street Sweatshirt -XL-Blue,160,29,697.50 ,0.10 ,37,1073,376,35.0%
Franchise,Abbey Ward,Buckinghamshire,National Catholic Reporter,26.10.18,7623,Clothing,Men,Jackets,MJ02-XL-Green,Hyperion Elements Jacket-XL-Green,160,60,921.60 ,0.10 ,32,1920,998,52.0%
Small chain store,Bintree,Norfolk,Denticator,26.10.18,7623,Clothing,Men,Hoodies & Sweatshirts,MH05-XS-White,Hollister Backyard Sweatshirt-XS-White,80,32,190.10 ,0.00 ,18,576,386,67.0%
Supermarket,Abbey Ward,Buckinghamshire,Marketing Horizons Inc,26.10.18,32737,Clothing,Men,Tanks,MT03-S-Red,Primo Endurance Tank-S-Red,160,20,95.20 ,0.10 ,14,280,185,66.0%
Supermarket,Stanhope,County Durham,Rock Springs Petroleum Equip,26.10.18,48896,Clothing,Men,Tanks,MT03-S-Yellow,Primo Endurance Tank-S-Yellow,25,20,421.40 ,0.00 ,43,860,439,51.0%
Local store,Warlingham,Surrey,Gulf Atlantic Equipment Co Inc,27.10.18,52291,Clothing,Men,Hoodies & Sweatshirts,MH01-XS-Orange,Chaz Kangeroo Hoodie-XS-Orange,50,33,59.40 ,0.00 ,5,165,106,64.0%
Local store,Marldon,Devon,Bfg Federal Credit Union,27.10.18,52291,Clothing,Men,Hoodies & Sweatshirts,MH03,Bruno Compete Hoodie,45,28,524.20 ,0.00 ,48,1344,820,61.0%
Franchise,Kirkby Stephen,Cumbria,B & S Tool And Cutter Svc Inc,27.10.18,31910,Clothing,Men,Tanks,MT03-XL-Blue,Primo Endurance Tank-XL-Blue,40,17,67.30 ,0.00 ,6,102,35,34.0%
Franchise,Darnall Ward,"Yorkshire, South",Martin Morrissey,27.10.18,3395,Clothing,Men,Hoodies & Sweatshirts,MH07-S-Black,Hero Hoodie-S-Black,85,33,14.50 ,0.00 ,1,33,19,56.1%
Franchise,Parwich,Derbyshire,Mcallister & Murphy Pc,27.10.18,22628,Clothing,Men,Tanks,MT03-XL-Red,Primo Endurance Tank-XL-Red,175,24,388.80 ,0.00 ,30,720,331,46.0%
Franchise,Chichester,West Sussex,Or Draymen & Warehousemans,27.10.18,3395,Clothing,Men,Hoodies & Sweatshirts,MH05-M-Green,Hollister Backyard Sweatshirt-M-Green,20,32,386.90 ,0.10 ,31,992,605,61.0%
Small chain store,Abbey Ward,Buckinghamshire,L & M Industrial Chemicals Inc,27.10.18,56064,Clothing,Men,Pants,MP03-36-Green,Geo Insulated Jogging Pant-36-Green,160,49,723.20 ,0.00 ,41,2009,1286,64.0%
Small chain store,Loundsley Green Ward,Derbyshire,All County Inc,27.10.18,3395,Clothing,Men,Pants,MP01-36-Black,Caesar Warm-Up Pant-36-Black,55,51,488.10 ,0.00 ,29,1479,991,67.0%
Supermarket,Crompton Ward,Greater Manchester,Kyes Tv Channel 5,27.10.18,3395,Clothing,Men,Tanks,MT03-XL-Yellow,Primo Endurance Tank-XL-Yellow,90,19,33.30 ,0.00 ,7,133,100,75.0%
Local store,Marldon,Devon,Bfg Federal Credit Union,28.10.18,20229,Clothing,Men,Tees,MS04-L-Red,Gobi HeatTec&reg; Tee-L-Red,45,11,165.40 ,0.10 ,47,517,352,68.0%
Small chain store,Loundsley Green Ward,Derbyshire,Guynes Design Inc,28.10.18,26627,Clothing,Men,Tees,MS09-XL-Red,Ryker LumaTech&trade; Tee (Crew-neck)-XL-Red,55,5,62.50 ,0.10 ,25,125,63,50.0%
Small chain store,Conisbrough and Denaby Ward,South Yorkshire,Em Building Products Inc,28.10.18,43554,Clothing,Men,Shorts,MSH06-33-Red,Lono Yoga Short-33-Red,70,37,86.60 ,0.10 ,9,333,246,74.0%
Supermarket,Abbey Ward,Buckinghamshire,"Lovitch, Alan F",28.10.18,44134,Clothing,Men,Jackets,MJ10-S-Red,Mars HeatTech&trade; Pullover-S-Red,160,40,378.00 ,0.10 ,35,1400,1022,73.0%
Local store,Bargate Ward,Southampton,Kiqo Pure Gold Oldies 104 Fm,29.10.18,24003,Clothing,Men,Jackets,MJ10-M-Orange,Mars HeatTech&trade; Pullover-M-Orange,35,57,1111.50 ,0.00 ,50,2850,1739,61.0%
Franchise,Abbey Ward,Buckinghamshire,Male Power Ltd,29.10.18,28419,Clothing,Men,Tanks,MT01-M-Gray,Erikssen CoolTech&trade; Fitness Tank-M-Gray,160,19,56.40 ,0.00 ,9,171,115,67.0%
Franchise,Brimpton,Berkshire,Wise Industries,29.10.18,24003,Clothing,Men,Jackets,MJ01-M-Red,Beaumont Summit Kit-M-Red,35,59,982.90 ,0.10 ,49,2891,1908,66.0%
Small chain store,Loundsley Green Ward,Derbyshire,Alliance Construction Co Inc,29.10.18,24003,Clothing,Men,Tanks,MT03-XS-Blue,Primo Endurance Tank-XS-Blue,55,22,63.40 ,0.10 ,9,198,135,68.0%
Supermarket,Abbey Ward,Buckinghamshire,Wa Inst For Plcy Studies,29.10.18,24003,Clothing,Men,Jackets,MJ11-S-Red,Typhon Performance Fleece-lined Jacket-S-Red,160,41,103.30 ,0.10 ,4,164,61,37.0%
Franchise,Weston-Super-Mare,North Somerset,Engelbrecht Ackerman & Hassman,30.10.18,38852,Clothing,Men,Tanks,MT03-XS-Red,Primo Endurance Tank-XS-Red,45,23,253.00 ,0.00 ,25,575,322,56.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,"Gallagher, John J Esq",31.10.18,21314,Clothing,Men,Shorts,MSH10-34-Purple,Sol Active Short-34-Purple,155,30,300.00 ,0.10 ,40,1200,900,75.0%
Local store,Bishop Auckland,County Durham,Combs Sheetmetal,31.10.18,38564,Clothing,Men,Tees,MS03-XL-Green,Balboa Persistence Tee-XL-Green,30,24,399.60 ,0.10 ,37,888,488,55.0%
Franchise,Abbey Ward,Buckinghamshire,Alternative Collection Svc Inc,31.10.18,38564,Clothing,Men,Shorts,MSH01-33-Red,Cobalt CoolTech&trade; Fitness Short-33-Red,160,44,545.20 ,0.10 ,21,924,379,41.0%
Franchise,Abbey Ward,Buckinghamshire,"Page, Patricia A Esq",31.10.18,38564,Clothing,Men,Tanks,MT03-XS-Yellow,Primo Endurance Tank-XS-Yellow,160,15,269.70 ,0.10 ,31,465,195,42.0%
Franchise,Maybury and Sheerwater Ward,Surrey,Allied Plastics,31.10.18,8103,Clothing,Men,Tanks,MT04,Helios Endurance Tank,60,18,138.20 ,0.10 ,16,288,150,52.0%
Franchise,Parwich,Derbyshire,Herr Foods Inc,31.10.18,21314,Clothing,Men,Tanks,MT04-L-Blue,Helios Endurance Tank-L-Blue,175,22,71.30 ,0.00 ,6,132,61,46.0%
Franchise,Bargate Ward,Southampton,Coastal Technologies,31.10.18,42338,Clothing,Men,Tanks,MT04-M-Blue,Helios Endurance Tank-M-Blue,35,20,86.80 ,0.00 ,14,280,193,69.0%
Small chain store,Loundsley Green Ward,Derbyshire,"Miller, Martin M Esq",31.10.18,21314,Clothing,Men,Pants,MP01-33-Black,Caesar Warm-Up Pant-33-Black,55,52,920.40 ,0.00 ,30,1560,640,41.0%
Small chain store,Franche Ward,Hereford and Worcester,Brewster Wallcoverings Co,31.10.18,18178,Clothing,Men,Tanks,MT04-S-Blue,Helios Endurance Tank-S-Blue,35,19,261.40 ,0.10 ,43,817,556,68.0%
Small chain store,Sawston,Cambridgeshire,Penrose Place Pharmacy Inc,31.10.18,42338,Clothing,Men,Tanks,MT04-XL-Blue,Helios Endurance Tank-XL-Blue,5,17,141.40 ,0.00 ,32,544,403,74.0%
Supermarket,Abbey Ward,Buckinghamshire,Kxlt Radio (k 108 Fm),31.10.18,18178,Clothing,Men,Tanks,MT04-XS-Blue,Helios Endurance Tank-XS-Blue,160,25,75.00 ,0.00 ,10,250,175,70.0%
Franchise,Abbey Ward,Buckinghamshire,"Sadowski, Jeffrey A",01.11.18,50081,Clothing,Men,Hoodies & Sweatshirts,MH06-S-Blue,Stark Fundamental Hoodie-S-Blue,160,25,103.30 ,0.00 ,7,175,72,41.0%
Franchise,Abbey Ward,Buckinghamshire,Male Power Ltd,01.11.18,44231,Clothing,Men,Tanks,MT05,Rocco Gym Tank,160,22,111.30 ,0.00 ,11,242,131,54.0%
Franchise,Howard Town Ward,Derbyshire,Strescon Industries Inc,01.11.18,44231,Clothing,Men,Tanks,MT01-M-Red,Erikssen CoolTech&trade; Fitness Tank-M-Red,45,25,688.00 ,0.00 ,43,1075,387,36.0%
Franchise,Dee Ward,Dumfries and Galloway,J A Associates,01.11.18,28389,Clothing,Men,Tees,MS02-M-Blue,Ryker LumaTech&trade; Tee (V-neck)-M-Blue,35,11,88.00 ,0.10 ,16,176,88,50.0%
Small chain store,Abbey Ward,Buckinghamshire,Tiny Tots Originals Div,01.11.18,15105,Clothing,Men,Shorts,MSH12-34-Black,Pierce Gym Short-34-Black,160,29,678.60 ,0.10 ,39,1131,452,40.0%
Small chain store,Loundsley Green Ward,Derbyshire,Lindner Funds,01.11.18,28389,Clothing,Men,Pants,MP09-32-Blue,Livingston All-Purpose Tight-32-Blue,55,42,91.10 ,0.10 ,7,294,203,69.0%
Small chain store,Woodstock Ward,South Gloucestershire,"Russell, Amelia Mosley Esq",01.11.18,44231,Clothing,Men,Jackets,MJ10-XS-Black,Mars HeatTech&trade; Pullover-XS-Black,35,40,537.60 ,0.10 ,24,960,422,44.0%
Supermarket,Abbey Ward,Buckinghamshire,General Bindery Co Inc,01.11.18,36896,Clothing,Men,Tees,MS06-XS-Blue,Zoltan Gym Tee-XS-Blue,160,10,40.80 ,0.00 ,12,120,79,66.0%
Supermarket,Abbey Ward,Buckinghamshire,Visiting Nur Assn Ctrl Jersey,01.11.18,36896,Clothing,Men,Tanks,MT05-L-Blue,Rocco Gym Tank-L-Blue,160,21,447.70 ,0.00 ,41,861,413,48.0%
Supermarket,Howard Town Ward,Derbyshire,Jeh Construction Co,01.11.18,36896,Clothing,Men,Hoodies & Sweatshirts,MH04-L-Green,Frankie  Sweatshirt-L-Green,45,20,159.60 ,0.00 ,21,420,260,62.0%
Supermarket,Abbey Road Ward,Greater London,Fast Cash,01.11.18,28389,Clothing,Men,Tees,MS12-M-Black,Atomic Endurance Running Tee (Crew-Neck)-M-Black,35,21,175.60 ,0.10 ,22,462,286,62.0%
Supermarket,Chichester,West Sussex,Word & Image Workshop Inc,01.11.18,32675,Clothing,Men,Hoodies & Sweatshirts,MH10-M-Red,Mach Street Sweatshirt -M-Red,20,30,396.00 ,0.10 ,20,600,204,34.0%
Local store,Carbrooke,Norfolk,Bizerba Usa Inc,02.11.18,37731,Clothing,Men,Tees,MS03-XL-Green,Balboa Persistence Tee-XL-Green,205,25,270.00 ,0.00 ,24,600,330,55.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Daily Advance,02.11.18,37731,Clothing,Men,Pants,MP09-36-Black,Livingston All-Purpose Tight-36-Black,155,39,263.30 ,0.10 ,25,975,712,73.0%
Local store,Bargate Ward,Southampton,Kiqo Pure Gold Oldies 104 Fm,02.11.18,50336,Clothing,Men,Hoodies & Sweatshirts,MH13-XS-Green,Marco Lightweight Active Hoodie-XS-Green,35,29,130.50 ,0.00 ,9,261,131,50.0%
Local store,Middlewich,Cheshire,K C Products Co,02.11.18,28259,Clothing,Men,Hoodies & Sweatshirts,MH09-S-Red,Abominable Hoodie-S-Red,60,23,177.10 ,0.10 ,22,506,329,65.0%
